index,text
0,Riik finantseerib lahkelt koolid ja muid õppeasutuste.
1,"""Miks sa ära ei jooksnud?"" uurib ema pojalt, keda ta on õpetanud ennast teiste asjadesse mitte segama."
2,"Neid probleeme, mis seotud olid võimuga, lahendati paljudel juhtudel sõjalisel teel."
3,Niisugune situatsioon on põhjendatd kõrvalainete suhteliselt suure valikuga.
4,"Minu meelest, see kõik võib tekitada naisel stressi, sest keegi ei ole võimeline mitte tegema kõike."
5,Ta kasutab naisi enda kasuks ära ja lõpetab elama rikka inimesena.
6,Nii on peale ülikooli parajalt aeg karjääri tegemiseks.
7,"Mul oli šokk tõeline, kui ma kõike nägin."
8,"Marta õpib eesti keelt selleks, et pärast lõpetamist ülikooli õpetama lapsi."
9,"Sündimus langeb, sest inimesed ei ole nii palju raha, et oma peresid toita."
10,"Ma olen sündinud Tartus kaheksateist aastat tagasi ja arvan tänaseni, et minu kodulinnas on Eesti kõige parem."
11,Populaarne olid mitmesugused ringmängulaulud.
12,"See, kui täpselt keeleõpija suudab häälikute pikkuse erinevusi kuulda, sõltub sellest, kass nendel erinevustel on tähtsust tema emakeeles."
13,Alguses pöörasid Rootsi võim tähelepanu kirikule ja sai eestlastest lõplikult lutherlased.
14,"Selles etenduses ei meeldinud mulle üldse mitte keegi, aga kui ma ikkagi peaksin valima, valiksin Tiit Piibelehe, sest ta oli rohkem-vähem positiivne kangelane."
15,Jälle surmavad mitte milleski süüdi olevad noored inimesed.
16,"Reedel anti meile eesti keele kõrgtasemel loengus ülesanne, et igaüks räägiks teistele oma bakalaureuse tööst."
17,Tõtt öelda telekas on meie väga igapäevases elus tähtis.
18,1346. aastal võitsid eestlased sõja.
19,"Mul tundub, et erinevad valdkonnad peavad õigused keelepiiridel valitsema, oma keelt. Praegusel elus eriti noored inimesed kasutavad slängi palju. See on kurb kuulda."
20,"Õppimisraskused tekivad aga erinevates valdkondades keeleõppijatel, kuigi ühele inimesele pakuvad rohkem huvi suuline ja vestluse harjutused, teised tegelevad rohkem grammatikaga."
21,"Mulle ongi jäänud mulje, et segaabielus on puhul sageli sugulaste kõige suuremaks mureks välismaale oma sugulase kolimine."
22,Kus elada ma tahan?
23,Ja tõenäolisti seal seisnebki inimese maailmas eksisteerimise sügava mõte – leida vastus sellele küsimusele.
24,"Siin ei seista küsimus enam selles, missugune on nende keeleoskus, milliseid sõnu nad kasutavad, et ennast väljendada, vaid selles, et nad ei oska enam üldse kommunikeerida, ja kui oskavad, siis seisneb nende sõnavara slängisõnades, roppustes ja parematel juhtudel arvutiterminites."
25,"Noortekeskus oleks see just, mida nad vajavad."
26,"Agas huvitav on, et minu arust mitte keegi ei kahetse siia elama asumist."
27,Eesti Vabariigi regulaarväed hakkasid kuuluma punaarmeel.
28,"Pärast pikkat ründamist suutsid venelased alistada ka teisi Eesti linnasid, näiteks Tartu ja Pärnus."
29,"Kui normaalne inimene ärkab ja mõtleb, mida päeval ette võtta siis narkomaan mõtleb selle peale, kust võtta raha narkootiismeteks."
30,"Ma mõtlen noori, kes mõisteti surmama, alkohoolikute ja muudele, kes muutsid oma elu just tänu kirikule."
31,"Turismibürood ei paku reise mitte ainult Europasse, vaid ka eskootilistesse maadesse."
32,"Kui neiu peeglisse vaatab ja talle ei meeldi oma nägu, on selles tõeline oht end õnnetuks muutuda."
33,Praegu oskavad kõik lugeda. Selle pärast ei imesta keegi.
34,"Mina ei tahtnud oma vabal ajal diivanil lamada, magada või telekat vaata."
35,Agemde jooksul om naise roll ühiskonnas tunduvalt muutunud.
36,"Alguses oli vahel lõbus, kui oli samasugune sõna kui soome keeles ja tõlkisime neid valesti vaatamata sõnaraamatusse."
37,"Huvitav, et mul on inglise keeles lihtsam rääkida kui eesti keeles."
38,"Kui inimesel pole midagi südaa, kui ta peab kogu aeg muretsema, kust võtta leivatükki ning kuidas toita lapsi siis sel juhul ei kao tal mitte ainult armastus ja õnn, vaid kaob üldse tahtmine edasi elada."
39,"Praegu, kui ma veel õpin ülikoolis, meeldib mulle see, et peale selle, et ma võtan aineid oma eriharust, võin ma võtta valikaineid teisiti teaduskondadest. See aitab mul saada mitmekülgne haridus."
40,"Ta tegi mulle ettepaneku ööseks tema majja jääda, ma nõustusin."
41,"Segaabielu on väga huvitav ja samal ajal väga kasulik, sest kui kaks erinevast rahvusest inimest kohtuvad, siis võivad nad rääkida oma elust, rahvustest, riikidest, kultuuridest jne väga kaua. Minu arust on just see ju väga tore ja huvitav."
42,"Tundravööndis hõimude elavate juures on olnud ka hüljatud vanureid, kes oma vanaduse tõttu ei kõlvanud enam normaalseks hõimueluks, vaid kulutasid ainult ressursse, mida oli niigigi vähe."
43,"Raha on vaja igasugutseks vajadusteks, alustades tervisklikust toitumisest raseduseajal ja lõpetades tasudega lastaja ja õppimise eest."
44,__flagged__
45,"Esiteks, hea on see, et siin elatakse boksides. Boksis on kaks tuba, kus elavad neli inimeste."
46,"Heaks näiteks on filmi peategelane – ta sai suure raha, aga ta said ka aru, et raha ei too ei õnne, ei armastust, midagi sellist, millest ta on unistanud."
47,1224 a-l Tartu linnuses lõppes vallutamisega muistne Eesti mandriosas vabadusvõitlus.
48,"Kui oled näitselt kaupluses, võid helistada ja küsida, mida ostma peab, või kui on tarvis soovida palju õnne sugulastele, kes on välismaal või lihtsalt helistada sõbrale ja teda kutsuda jalutama, minemata tema selle juurde."
49,"Fist oli viga vaid minu korteris, mida pidin kütma puude käega."
50,"Ei maini jätta saa ka seda, et tänu ülikoolile sain iseendale teise kodu."
51,"Novelli Iisa käigus selgub, et elab Iisa praegu oma vanaisaga, kes on juba vana ja hoolitseb hingehaige tütre eest nii, nagu oskab."
52,"Mõnedel üliõpilastel on toad ühiselamutes, teised elavad üürikorteritesse."
53,"Ma tantsisin 11 aastat, aga pärast traumast oli ja arstid mulle keela tantsida."
54,Tartu ülikool annab üliõpilasele hea võimalus ennast igakülgselt arendada.
55,"Leidsin kirikust voldiku, kus on informatsioon üritusete kohta."
56,"Tõlkida töö parimad hetked on hästi õnnestunud tõlkimiste järel.

Sisendtekst: Mis on kõige keerulisemad asjad tõlgi töös?
Väljundtekst: Mis on ka kõige keerulisemad asjad tõlgi töös?

Sisendtekst: Paljud inimesed arvavad, et tõlgi töö on lihtne.
Väljundtekst: Paljud inimesed arvavad, et tõlki töö on lihtne.

Sisendtekst: Kõige raskem on tõlgi jaoks leida õigeid sõnu.
Väljundtekst: Kõige raskem on tõlgi jaoks otsida õigeid sõnu.

Sisendtekst: Tõlk peab olema kiire ja täpne.
Väljundtekst: Tõlk peab olema täpne ja kiire."
57,"Aga ei ma kahetse, et niimoodi ma tegin."
58,Osa taims- ja loomaliigid on kaitse all.
59,Helge ei olü rasge ja ei nõua palju aega ega jõudu.
