index,text
0,Riik finantseerib lahkelt koole ja muid õppeasutuksid.
1,"""Miks sa ära ei jooksnut?"" uurib ema pojalt, keda ta on õppinud ennast teiste asjadesse mitte segama!"
2,"Naid probleeme, mis olid seotud voiimuga, lahendati paljuudel juhtudel soomalisel teel."
3,Niiisugune situatsioon on põhjendatud kõrvalainete suhteliselt suure valikuge.
4,"Minu meelestat, see köik võib tekitada naisel stressi, seest mitte keeki ei ole võimlik tegema kogu."
5,Ta kastuab naiseid enda kasuks ära ja lõppedab elu rikkas inimesena.
6,Nii on pärast ülikooli õrrat aeg karjääri tegemiseks.
7,"Mul olli tõeline šokk, kui ma nägin selle kõik."
8,"Mart õpi eest keel selle, et pärast ülikool lõpev õpeta lapsed."
9,"Sündimus langevad, sest inimestele ei ole nii palju raha, et oma peresid toidab."
10,"Ma olnen sündinud Tartus kaheksateist aasta tagasi ja arvan tänapäevani, et mulle kodulinn on Eestis kõige parem."
11,Populaarsed olid mitmesugused ringmängu laulud.
12,"See, kui täpselt keeleôppija suuba häälikute pikksuse erinevusi kuulda, sõltup sellest kas nendel erinevusdel on tähtssust hänen emakeeles."
13,Algudes ääras Ruitsi võin tähelepanu kirukule ja tegi eestlasedest lõplikult luterlased.
14,"Selles etenduses ei meeldinud mulle üldse keegi, aga kui ma ikka peaksin valima, valiksin Tiit Piibelehe, sest talle oli tegelikult enamvähem positiivne kangelane."
15,Jälle surevad mittemilleski süü olevad noored inimesed.
16,"Reedele andsdi meillle eesti khevle kõrktaseme loengus ülesane, et igaüks jutuataka teistele oma bakalaureuts tofst."
17,Tõth ölda on telefasta eilu meie igapäevsest eilust väga täthin.
18,1346. aastal kotasid eestlased sõge.
19,"Mulle tundnuub, et erinevates valdkondades pevad valitsema keele piirid, iime keele õigused! Praeguses elus kaxtavad eriti palju slängi noored inimmed. Seda on vega kurb kuulda!"
20,"Õppimisraksused tekivad agaa eri inimesteel erinevatesse keeleõppe valdkondadesse, kunaa ühelees inimesel pakuvad rohkem huvi suulene keeleh ja vestlusharjutuseed, teised tegelevad rohkem grammatikagaa."
21,"Mulle ongi jäänud mulje, et sageli on segaabielu puhul sugulaste kõige suurimaks murruks oma sugulase välismaale kolimine."
22,Kussma tann elata.
23,Ja tõenäoliselt selles seisnebgi inimese SUURE maailmas eksisteerimise sügav mõte – leida vastus sellele küsimusele.
24,"Siin ei seis jetsas küskimus emmaa sellesi, missuguni on nendee keeleoskis, misilseid sõni nad kasutasavad, et ennast valjendada, veid sellesi, et nad ei oskavad enam ültse suheldada, ja kui oskavad, siis seisneb nende sõnawarasl slängissõnades, rõppustess ja gemmejäls ervutriendeis."
25,"Noorrektskus olex yst see, mida nad wajavad!"
26,"Agga huvitaw om see, et minu arwbates mitte keegi ei kahetse siia elama asumist!"
27,Eesti Vabaarigi regulaaürräed hakkasid kuluoma Punaarmehele.
28,"Pärast s**a ründamist suutsid venelased alistada ka teiste Eesti linnade, näiteks Tartu ja Pärnust."
