index,text
0,Riiki finantseerivad lahkesti koolid ja muud õppimise asutusid.
1,"""Miku sa ära ei jooksid?"" uuris ema pojalt, kelle ta on õppetanud endid teisteni asjadesse mitte segada."
2,"Neid problemme, kes olid seotud võimuga, lahendati paljude juhtudel sõjaliselt teel."
3,Nisuugune situatsion on põhjendadud körvalainete suhteliselt suur valikuga.
4,"Minu arust, see kõik võiks tekitama naisel stressi, sest mitte keegi pole võimeline tegemise kõiki."
5,Ta kasutas naisterahvaid enda kasuukest ära ja lõppetab elu rikkas inimene.
6,Nii on pareast ylikooli on paras taga karjäädi tegmiseks.
7,Mul oli tõelinen šokk kui ma nägisin seda kõigd.
8,"Marta õpivad Eesti keelet selle pärast, et pärust ülikooli lõppetamist õppetavad lapsid."
9,"Sünnitamist langeb, sest inimestel ei ole palju raha et oma peresid toita."
10,"Mina olen sünnitatud Tartu kaheksateist aasta tagasi ja arvama tänapäeva, et minu kodulinna on Eestis kõige paremini."
11,Populaarne olid mitme sugu ring mängulaule.
12,"See kui tõpselt keeleõppia suudab kuulda häälitte pikkuseid erinevused, see sõltu siid et kas neil erinevus on tähtsus tema emakeele mõttes."
13,Alguzes pöras Rodsi võimum tähelepannu kirikuule ja tegid eestlasteist lõpilikut luterlandsed.
14,"Selise etentus ei meeltinud minule õigesti kõik, aga kui ma ikagi peaks valima, ma valiksin Tiit Piibeleht, sest ta oli enem-vähem postiivne kangelane."
15,Jalle surra mittes millekski süüdistavat noor inimene.
16,"Reedel eesti keele kõrge tase loengus anti ülesanne, et igayks teistele jutustab oma bakalaureuse tööst."
17,Tott öeldes on tele visioon mei igapäevasess elus vägä tahetis.
18,1346 aasta eestlased kaotas sõjas.
19,"Mina arvan, et erinevatel valdkonnatel peab valitsemine keele piirid, minu keele õigused. Praegune elu kasutab, eriti palju noored inimesed slängi. See on väga kurb kuulama."
20,"Õppimis raskused tekib aga eri inimestel erines keele õppe valdkondades, kuna ühele inimeselele pakuvad rohkem huvi suulise keele ja vestluse harjutused, teisi tegelevad rohkem grammatika."
21,"Mule ongi jäänd mulje, et sageli on segaabjelu puhul sugulaste kõig suuremaks mureks oma suguelase völismaale kolimine."
22,Kuss ma taha elada?
23,Ja tõenäoline selles seenebki inimese suur maailmas ekzisteerimine sügav mõttes - leidma vastuse sellele küsimus.
24,"Siin pole küsimus enam selles, miksugune on nemad keele oskus, mis sõnad nad kasutab, et ennast väljendada, vaides selles, et nemad ei oska enam ültse suhtleda, ja kui oskavad, siis seisab neid sõnavara släng sõnades, ropustes ja paremat juhul arvuti terminites."
25,"Noortekeskus ollaks just see, mida nad vajava."
26,"Aga huvitave on see, et minu arvates mitte kegi ei kahetse siia elama asumist."
27,Eestimaa Vabariik reguleert väed hakkasit kuuluma Punarmeele.
28,"Pärast pikka ründamisest suutsided venelased alistama ka teised Eesti linned, näideks Tarttu ja Pernu."
29,"Kui normaalise inimene ärge ja mõtelb, midä päeval ette oska, siis narkomaani mõtleb see üle, kusst võtta rahha narkotikumid jaoks."
30,"Ma pean silmaas nende surmamõistetud, alkoholikud ja teised, kes muutsid oma elu just tänu kirkule."
31,"Turisumibürood no ei pakkuud reiseid mitte ainuld Euroopasse, vaid ka ekzootilisemassein maassein."
32,"Kui neiu peegelisse vaatama ja talle ei meeldiv tema nina, on selles tõelis oht õnnetuks saada."
33,Praegu oskawad kõik loe. Selles üle ei imeestab keegi.
34,"Mina ei tahha omal vaba ajal diivanile lammada, magama või telekas vaatama."
35,Ajadega jooksul on naiste roll ühiskonnas tuntavalt muudetud.
36,"Alkuses oli küll vahel lõbus, kui oli samasugu sõna kuin soome keeles ja tõlkisme neid valesti, sõnaraamatu vaatamata."
37,"Huvitva, et minul on lihtsam rääkima inglise kui eesti keelesi."
38,"Kui inimene pole midagi süa, kui tema peab kogu aega muretzema, kusst võtta leiba tükki ning kuida sööda lapsid, selles juhules ei kao tema mitte ainuld armastust ja õnne, vaid kaob üldse tahetmine edasi elu.
"
39,"Praeegu, kui ma õppida veel ülikoolis, mulle meeldib, et peale selle, et ma võtma aineid minu eriharust, ma võida võtta valikaineid teistest teaduskonnad. See abistab mind saada mitmekülgsed hariduse."
40,"Ta tegid mulle ettepanek ööseks temale maja jäädä, mina jäägingi."
41,"Segaabielud on vägas huvitavad ja sama ajal väga kasulikud, sest kui kaks eri rahvuste inimest kohtuvat, siis nad saavad rääkimiseks nende elust, rahvasist, riigistest, kultuurist ja nii edasi väga kaua. Minu arust on see ju väga tore ja põnevad."
42,"Tundravööndis elavade hõimude juured on olnud kaa hyljatud vanurid, kes oma vanadus tõttu ei kõlvand enam normaalneks hõimu eluks, vaid ainult kulutsid resursse, midagi oli niigi vähe."
43,"Rahad on vajad igasuguseid vajadusiks, alustama tervislikest toitumiseni rasedus aal ja lõpetama tasud lasteaeda ja õppimises eesti."
44,Ema gerutunult keerutad sõrmust sörme sees.
45,"Esiteks, hea on see, et siin elatakse boksis. Boksil on kaks tuba, kus elab neli inimene."
46,"Häks näituseks on filmipeatägalen – tema sai suuri rahha, aga tema sai ka arus, et raha pole toovad ei õnne, ei armastuse, mitte miskit sellise, millest tema unistab."
47,1224 aasta lõppenud Tartu linnus vallutaminega muistene vabadusvõitlus Eestis mandriosas.
48,"Kui olemd näituseks kauplluses, või helistad ning küsid, midad tuleb ostada, või kui vaja sooveda paljud õnned sugultastele, kes on väljasmaal võei lihtsad helistada sobrale ning paluda tema välja jalutama, minemata tema juure."
49,"Vist olli viga ainult minu korter, mida pidin küttama puududega."
50,"Ei sa mainimata jäta kaa, et tänu ülikooli sain mina endale teis kodu."
51,"Noveli käiguks selguv, et Iisa elada praegu tema isaga, kes on juba vanad ja hoolitseb hinge haige tütar eest nii, kuidas oskab."
52,"Mõnded üliõpelased on tubadest ühisselamutess, teistid elavat üüri korteritest."
53,"Mina tanstisin 11 aasta, kuid pärast oli traumat ning arstid keelsid minule tantsimast."
